11325 atoms
1 atom types

0.0 4.072500000000001 xlo xhi
0.0 4.072500000000001 ylo yhi
0.0 4.072500000000001 zlo zhi
0.000000 0.000000 0.000000 xy xz yz

Masses

1 28.0855

Atoms
393 1 3.5295 0.543 0.0 0.132
394 1 3.5295 0.8145 0.0 0.132
395 1 3.5295 1.086 0.0 0.132
396 1 3.5295 1.3575000000000002 0.0 0.132
397 1 3.5295 1.629 0.0 0.132
398 1 3.5295 1.9005 0.0 0.132
399 1 3.5295 2.172 0.0 0.132
400 1 3.5295 2.4435000000000002 0.0 0.132
401 1 3.5295 2.7150000000000003 0.0 0.132
402 1 3.5295 2.9865000000000004 0.0 0.132
403 1 3.5295 3.258 0.0 0.132
404 1 3.5295 3.5295 0.0 0.132
405 1 3.5295 3.801 0.0 0.132
406 1 3.6652500000000003 0.13575 0.0 0.132
407 1 3.6652500000000003 0.40725 0.0 0.132
408 1 3.6652500000000003 0.6787500000000001 0.0 0.132
409 1 3.6652500000000003 0.95025 0.0 0.132
410 1 3.6652500000000003 1.2217500000000001 0.0 0.132
411 1 3.6652500000000003 1.4932500000000002 0.0 0.132
412 1 3.6652500000000003 1.76475 0.0 0.132
413 1 3.6652500000000003 2.0362500000000003 0.0 0.132
414 1 3.6652500000000003 2.30775 0.0 0.132
415 1 3.6652500000000003 2.57925 0.0 0.132
416 1 3.6652500000000003 2.85075 0.0 0.132
417 1 3.6652500000000003 3.12225 0.0 0.132
418 1 3.6652500000000003 3.3937500000000003 0.0 0.132
419 1 3.6652500000000003 3.6652500000000003 0.0 0.132
420 1 3.6652500000000003 3.9367500000000004 0.0 0.132
421 1 3.801 0.0 0.0 0.132
422 1 3.801 0.2715 0.0 0.132
423 1 3.801 0.543 0.0 0.132
424 1 3.801 0.8145 0.0 0.132
425 1 3.801 1.086 0.0 0.132
426 1 3.801 1.3575000000000002 0.0 0.132
427 1 3.801 1.629 0.0 0.132
428 1 3.801 1.9005 0.0 0.132
429 1 3.801 2.172 0.0 0.132
430 1 3.801 2.4435000000000002 0.0 0.132
431 1 3.801 2.7150000000000003 0.0 0.132
432 1 3.801 2.9865000000000004 0.0 0.132
433 1 3.801 3.258 0.0 0.132
434 1 3.801 3.5295 0.0 0.132
435 1 3.801 3.801 0.0 0.132
436 1 3.9367500000000004 0.13575 0.0 0.132
437 1 3.9367500000000004 0.40725 0.0 0.132
438 1 3.9367500000000004 0.6787500000000001 0.0 0.132
439 1 3.9367500000000004 0.95025 0.0 0.132
440 1 3.9367500000000004 1.2217500000000001 0.0 0.132
441 1 3.9367500000000004 1.4932500000000002 0.0 0.132
442 1 3.9367500000000004 1.76475 0.0 0.132
443 1 3.9367500000000004 2.0362500000000003 0.0 0.132
444 1 3.9367500000000004 2.30775 0.0 0.132
445 1 3.9367500000000004 2.57925 0.0 0.132
446 1 3.9367500000000004 2.85075 0.0 0.132
447 1 3.9367500000000004 3.12225 0.0 0.132
448 1 3.9367500000000004 3.3937500000000003 0.0 0.132
449 1 3.9367500000000004 3.6652500000000003 0.0 0.132
450 1 3.9367500000000004 3.9367500000000004 0.0 0.132
451 1 0.0 0.13575 0.13575 0.132
452 1 0.0 0.6787500000000001 0.13575 0.132
453 1 0.0 1.2217500000000001 0.13575 0.132
454 1 0.0 1.4932500000000002 0.13575 0.132
455 1 0.0 1.76475 0.13575 0.132
456 1 0.0 2.30775 0.13575 0.132
457 1 0.0 2.85075 0.13575 0.132
458 1 0.0 3.12225 0.13575 0.132
459 1 0.0 3.3937500000000003 0.13575 0.132
460 1 0.13575 0.0 0.13575 0.132
461 1 0.13575 0.2715 0.13575 0.132
462 1 0.13575 1.086 0.13575 0.132
463 1 0.13575 1.3575000000000002 0.13575 0.132
464 1 0.13575 1.629 0.13575 0.132
465 1 0.13575 2.172 0.13575 0.132
466 1 0.13575 2.9865000000000004 0.13575 0.132
467 1 0.13575 3.258 0.13575 0.132
468 1 0.13575 3.5295 0.13575 0.132
469 1 0.13575 3.801 0.13575 0.132
470 1 0.2715 0.13575 0.13575 0.132
471 1 0.2715 0.6787500000000001 0.13575 0.132
472 1 0.2715 1.2217500000000001 0.13575 0.132
473 1 0.2715 1.4932500000000002 0.13575 0.132
474 1 0.2715 1.76475 0.13575 0.132
475 1 0.2715 2.0362500000000003 0.13575 0.132
476 1 0.2715 2.30775 0.13575 0.132
477 1 0.2715 2.85075 0.13575 0.132
478 1 0.2715 3.3937500000000003 0.13575 0.132
479 1 0.2715 3.9367500000000004 0.13575 0.132
480 1 0.40725 0.0 0.13575 0.132
481 1 0.40725 0.2715 0.13575 0.132
482 1 0.40725 0.8145 0.13575 0.132
483 1 0.40725 1.3575000000000002 0.13575 0.132
484 1 0.40725 1.629 0.13575 0.132
485 1 0.40725 1.9005 0.13575 0.132
486 1 0.40725 2.172 0.13575 0.132
487 1 0.40725 2.4435000000000002 0.13575 0.132
488 1 0.40725 2.7150000000000003 0.13575 0.132
489 1 0.40725 2.9865000000000004 0.13575 0.132
490 1 0.40725 3.801 0.13575 0.132
491 1 0.543 0.13575 0.13575 0.132
492 1 0.543 0.40725 0.13575 0.132
493 1 0.543 0.6787500000000001 0.13575 0.132
494 1 0.543 0.95025 0.13575 0.132
495 1 0.543 1.4932500000000002 0.13575 0.132
496 1 0.543 1.76475 0.13575 0.132
497 1 0.543 2.0362500000000003 0.13575 0.132
498 1 0.543 2.30775 0.13575 0.132
499 1 0.543 2.57925 0.13575 0.132
500 1 0.543 2.85075 0.13575 0.132
501 1 0.543 3.3937500000000003 0.13575 0.132
502 1 0.543 3.6652500000000003 0.13575 0.132
503 1 0.543 3.9367500000000004 0.13575 0.132
504 1 0.6787500000000001 0.0 0.13575 0.132
505 1 0.6787500000000001 0.2715 0.13575 0.132
506 1 0.6787500000000001 0.543 0.13575 0.132
507 1 0.6787500000000001 1.086 0.13575 0.132
508 1 0.6787500000000001 1.3575000000000002 0.13575 0.132
509 1 0.6787500000000001 1.629 0.13575 0.132
510 1 0.6787500000000001 2.4435000000000002 0.13575 0.132
511 1 0.6787500000000001 2.7150000000000003 0.13575 0.132
512 1 0.6787500000000001 2.9865000000000004 0.13575 0.132
513 1 0.6787500000000001 3.258 0.13575 0.132
514 1 0.6787500000000001 3.5295 0.13575 0.132
515 1 0.6787500000000001 3.801 0.13575 0.132
516 1 0.8145 0.13575 0.13575 0.132
517 1 0.8145 0.6787500000000001 0.13575 0.132
518 1 0.8145 0.95025 0.13575 0.132
519 1 0.8145 1.2217500000000001 0.13575 0.132
520 1 0.8145 2.30775 0.13575 0.132
521 1 0.8145 2.57925 0.13575 0.132
522 1 0.8145 2.85075 0.13575 0.132
523 1 0.8145 3.12225 0.13575 0.132
524 1 0.8145 3.3937500000000003 0.13575 0.132
525 1 0.8145 3.6652500000000003 0.13575 0.132
526 1 0.8145 3.9367500000000004 0.13575 0.132
527 1 0.95025 0.0 0.13575 0.132
528 1 0.95025 0.543 0.13575 0.132
529 1 0.95025 0.8145 0.13575 0.132
530 1 0.95025 1.086 0.13575 0.132
531 1 0.95025 1.3575000000000002 0.13575 0.132
532 1 0.95025 1.629 0.13575 0.132
533 1 0.95025 1.9005 0.13575 0.132
534 1 0.95025 2.172 0.13575 0.132
535 1 0.95025 2.4435000000000002 0.13575 0.132
536 1 0.95025 2.7150000000000003 0.13575 0.132
537 1 0.95025 2.9865000000000004 0.13575 0.132
538 1 0.95025 3.258 0.13575 0.132
539 1 0.95025 3.5295 0.13575 0.132
540 1 0.95025 3.801 0.13575 0.132
541 1 1.086 0.13575 0.13575 0.132
542 1 1.086 0.40725 0.13575 0.132
543 1 1.086 0.6787500000000001 0.13575 0.132
544 1 1.086 0.95025 0.13575 0.132
545 1 1.086 1.2217500000000001 0.13575 0.132
546 1 1.086 1.76475 0.13575 0.132
547 1 1.086 2.0362500000000003 0.13575 0.132
548 1 1.086 2.30775 0.13575 0.132
549 1 1.086 2.57925 0.13575 0.132
550 1 1.086 2.85075 0.13575 0.132
551 1 1.086 3.6652500000000003 0.13575 0.132
552 1 1.086 3.9367500000000004 0.13575 0.132
553 1 1.2217500000000001 0.2715 0.13575 0.132
554 1 1.2217500000000001 0.543 0.13575 0.132
